Search Warrant #,Type of Warrant,Date,Address Merged,Address,,,City,State,Country,
12SW4322,SEARCH,23-Jan-12,5500 S WINCHESTER AVE,5500,S,WINCHESTER AVE,CHICAGO,ILLINOIS,USA,Y
12SW4328,SEARCH,23-Jan-12,5500 W MONROE ST,5500,W,MONROE ST,CHICAGO,ILLINOIS,USA,N
12SW4311,SEARCH,23-Jan-12,11500 S PRINCETON AVE,11500,S,PRINCETON AVE,CHICAGO,ILLINOIS,USA,Y
12SW4334,SEARCH,23-Jan-12,5100 W HURON ST,5100,W,HURON ST,CHICAGO,ILLINOIS,USA,N
12SW4318,SEARCH,24-Jan-12,4300 S MICHIGAN AVE,4300,S,MICHIGAN AVE,CHICAGO,ILLINOIS,USA,Y
12SW4353,SEARCH,24-Jan-12,6900 S YALE AVE,6900,S,YALE AVE,CHICAGO,ILLINOIS,USA,N
12SW4356,SEARCH,24-Jan-12,7200 S HALSTED ST,7200,S,HALSTED ST,CHICAGO,ILLINOIS,USA,Y
12SW4331,SEARCH,24-Jan-12,5900 S ABERDEEN ST,5900,S,ABERDEEN ST,CHICAGO,ILLINOIS,USA,N
12SW4374,SEARCH,25-Jan-12,2100 W 71ST ST,2100,W,71ST ST,CHICAGO,ILLINOIS,USA,N
12SW4351,SEARCH,25-Jan-12,400 N DEARBORN ST,400,N,DEARBORN ST,CHICAGO,ILLINOIS,USA,N
12SW4349,SEARCH,25-Jan-12,400 N DEARBORN ST,400,N,DEARBORN ST,CHICAGO,ILLINOIS,USA,N
12SW4352,SEARCH,25-Jan-12,400 N DEARBORN ST,400,N,DEARBORN ST,CHICAGO,ILLINOIS,USA,N
12SW4348,SEARCH,25-Jan-12,400 N DEARBORN ST,400,N,DEARBORN ST,CHICAGO,ILLINOIS,USA,N
12SW4346,SEARCH,25-Jan-12,400 N DEARBORN ST,400,N,DEARBORN ST,CHICAGO,ILLINOIS,USA,N
12SW4354,SEARCH,25-Jan-12,6500 S LOWE AVE,6500,S,LOWE AVE,CHICAGO,ILLINOIS,USA,Y
12SW4341,SEARCH,25-Jan-12,3300 W FILLMORE ST,3300,W,FILLMORE ST,CHICAGO,ILLINOIS,USA,N
12SW4377,SEARCH,25-Jan-12,5700 S LAFLIN ST,5700,S,LAFLIN ST,CHICAGO,ILLINOIS,USA,N
12SW4347,SEARCH,25-Jan-12,400 N DEARBORN ST,400,N,DEARBORN ST,CHICAGO,ILLINOIS,USA,N
12SW4350,SEARCH,25-Jan-12,400 N DEARBORN ST,400,N,DEARBORN ST,CHICAGO,ILLINOIS,USA,N
12SW4339,SEARCH,25-Jan-12,5700 S LA SALLE ST,5700,S,LA SALLE ST,CHICAGO,ILLINOIS,USA,N
12SW4364,SEARCH,25-Jan-12,5700 S THROOP ST,5700,S,THROOP ST,CHICAGO,ILLINOIS,USA,Y
12SW4184,SEARCH,25-Jan-12,600 S CANAL ST,600,S,CANAL ST,CHICAGO,ILLINOIS,USA,N
12SW4383,SEARCH,25-Jan-12,6700 S BISHOP ST,6700,S,BISHOP ST,CHICAGO,ILLINOIS,USA,N
12SW4342,SEARCH,25-Jan-12,4100 N CICERO AVE,4100,N,CICERO AVE,CHICAGO,ILLINOIS,USA,Y
12SW4370,SEARCH,25-Jan-12,1000 N MONTICELLO AVE,1000,N,MONTICELLO AVE,CHICAGO,ILLINOIS,USA,N
12SW4378,SEARCH,25-Jan-12,6900 S GREEN ST,6900,S,GREEN ST,CHICAGO,ILLINOIS,USA,Y
12SW4386,SEARCH,25-Jan-12,6400 S DAMEN AVE,6400,S,DAMEN AVE,CHICAGO,ILLINOIS,USA,N
12SW4368,SEARCH,25-Jan-12,3000 N ELSTON AVE,3000,N,ELSTON AVE,CHICAGO,ILLINOIS,USA,Y
12SW4367,SEARCH,25-Jan-12,3200 N OZARK AVE,3200,N,OZARK AVE,CHICAGO,ILLINOIS,USA,Y
12SW4391,SEARCH,25-Jan-12,400 N CENTRAL PARK BLVD,400,N,CENTRAL PARK BLVD,CHICAGO,ILLINOIS,USA,Y
